"","Codigo_da_oportunidade","Classificacao_da_Oportunidade","Data_de_criacao","Faixa_de_Faturamento_Agregado","Data_Real_de_Encerramento_da_Opp2","numero_relacionamentos","numero_relacionamentos_convertidos","intervalo_tempo","ano","Valor_corrigido2","Forma_de_Contratacao_Agregado","Concorrentes","n_solucoes","Software","Comissão sobre Parceiros","Cybersecurity","Desdobramento de metas","ESG","Equilíbrio fiscal","Skill_dev","Gestão Estratégica","Gestão da Educação","Gestão da Operação","Gestão da Receita","Gestão da Saúde","Gestão da Segurança Pública","Gestão da Segurança Viária","Gestão de Gastos","Gestão de operações projetizadas","Gestão de pessoas","Processes Excellence","Produtos digitais","S_amp_OP_S_amp_OE","Transformação Digital","Treinamentos","Roadmap","Segmentacao","Carteira_Nova","Segmento_Agregado2","Total_HH","Custo_Total","Margem_Total","ID_cliente"
"1",12518,"Renovação",2021-04-23,"De 1 a 5 bilhões",2021-05-26,7,3,0.7,2021,1112337.43448766,"Sem Concorrência",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Bens Não Duráveis","Agronegócio",171,334802.7,0.575724424743415,95
"2",10767,"Novo",2020-03-23,"De 60,1 a 300 milhoes",2021-05-27,1,0,0,2021,445984.352553332,"Concorrência",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Serviços","Energia",125.5,120951.02,0.644261705882353,263
"3",11825,"Renovação",2020-12-01,"De 301 a 500 milhões",2021-05-28,6,1,5.83,2021,523593.825136422,"Concorrência",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serviços","Transporte e Logística",102,156401.91,0.608178522107017,437
"4",12583,"Renovação",2021-05-05,"Acima de 5 bilhões",2021-05-28,11,10,0.57,2021,4756797.27203017,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Saúde, Educação e Serviços Públicos","Administracao Publica",1386,2935648.5,0.190475283367989,252
"5",11389,"Recuperação",2020-09-01,"De 501 a 1 bilhão",2021-05-31,4,0,12.57,2021,301695.290699026,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Bens Duráveis","Demais Comercios",65,89227.5,0.612054347826087,386
"6",12142,"Renovação",2021-02-18,"De 1 a 5 bilhões",2021-05-31,7,4,5.7,2021,2811996.91265533,"Sem Concorrência",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Bens Duráveis","Ind. Farmacêutica",796,803068.31,0.625390875801749,449
"7",12234,"Renovação",2021-03-08,"Acima de 5 bilhões",2021-05-31,16,9,0.47,2021,1900909.912955,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Serviços","Servicos Especializados",378,553941.96,0.61775357703521,523
"8",11924,"Renovação",2020-12-30,"De 501 a 1 bilhão",2021-06-07,3,1,9.43,2021,236081.294909168,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Serviços","Serviços Financeiros",44,81187.6,0.551282384314592,264
"9",12215,"Recuperação",2021-03-04,"De 15,1 a 60 milhões",2021-06-07,2,0,7.43,2021,542651.31768221,"RFP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Serviços","Energia",89,190821.53,0.54117031649184,762
"10",12233,"Renovação",2021-03-08,"Acima de 5 bilhões",2021-06-07,17,10,0.23,2021,3583736.43409509,"RFP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Serviços","Servicos Especializados",782,1117663.44,0.593069747840263,523
"11",12272,"Recuperação",2021-03-15,"De 60,1 a 300 milhoes",2021-06-07,2,0,2.33,2021,805585.461301426,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serviços","Servicos Especializados",72,358881.14,0.418721833495303,681
"12",12545,"Novo",2021-04-28,"De 501 a 1 bilhão",2021-06-07,1,0,0,2021,828549.995140884,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Associações Fed. Fundações e Entidades De Classe",141,237834.17,0.625458,24
"13",12549,"Novo",2021-04-29,"De 60,1 a 300 milhoes",2021-06-07,1,0,0,2021,2471297.14897582,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Serviços","Serviços Financeiros",507,870332.72,0.540479028511088,740
"14",11358,"Novo",2020-08-25,"De 501 a 1 bilhão",2021-06-08,1,0,0,2021,2467105.47523562,"Publico",0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Administracao Publica",451,1073687.93,0.411065548367931,643
"15",12288,"Novo",2021-03-17,"De 301 a 500 milhões",2021-06-08,1,0,0,2021,391604.043688193,"Publico",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Serviços","Transporte e Logística",76,135665.14,0.547971211995002,635
