"","Codigo_da_oportunidade","Classificacao_da_Oportunidade","Data_de_criacao","Faixa_de_Faturamento_Agregado","Data_Real_de_Encerramento_da_Opp2","id_fechou","numero_relacionamentos","numero_relacionamentos_convertidos","intervalo_tempo","ano","Valor_corrigido2","Forma_de_Contratacao_Agregado","Concorrentes","n_solucoes","Software","Comissão sobre Parceiros","Cybersecurity","Desdobramento de metas","ESG","Equilíbrio fiscal","Skill_dev","Gestão Estratégica","Gestão da Educação","Gestão da Operação","Gestão da Receita","Gestão da Saúde","Gestão da Segurança Pública","Gestão da Segurança Viária","Gestão de Gastos","Gestão de operações projetizadas","Gestão de pessoas","Processes Excellence","Produtos digitais","S_amp_OP_S_amp_OE","Transformação Digital","Treinamentos","Roadmap","Segmentacao","Carteira_Nova","Segmento_Agregado2","Total_HH","Custo_Total","Margem_Total","ID_cliente"
"1",10054,"Novo",2019-10-11,"De 60,1 a 300 milhoes",2019-10-29,"1",1,0,0,2019,503536.326980052,"Concorrência",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Serviços","Telecomunicacoes e Midia",115,151368.42,0.5675188,826
"2",10004,"Recuperação",2019-10-09,"De 501 a 1 bilhão",2019-10-31,"1",2,1,2.03,2019,618630.34246064,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Bens Duráveis","Demais Ind.",205,183543.74,0.573154093023256,225
"3",10063,"Renovação",2019-10-16,"Acima de 5 bilhões",2019-11-04,"0",8,5,6.27,2019,2700288.60632424,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Serviços","Serviços Financeiros",472,725715,0.615311423270607,849
"4",10138,"Novo",2019-10-29,"De 60,1 a 300 milhoes",2019-11-06,"1",1,0,0,2019,45803.9891578703,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Bens Não Duráveis","Ind de Alimentos e Bebidas",4,24540.16,0.23312,282
"5",10074,"Renovação",2019-10-16,"Acima de 5 bilhões",2019-11-13,"1",6,5,4.37,2019,4424331.3662266,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Internacional & Outros","Siderurgia e Mineração",691,1639159.66,0.54526213963579,297
"6",10233,"Renovação",2019-11-21,"Acima de 5 bilhões",2019-11-22,"1",5,4,5,2019,6446466.71802573,"Publico",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Saúde, Educação e Serviços Públicos","Administracao Publica",2219.5,2168393.27,0.518529503094416,252
"7",10025,"Renovação",2019-10-10,"De 301 a 500 milhões",2019-11-25,"1",4,3,1.97,2019,3721574.54253131,"Concorrência",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Infraestrutura e Indústria de Base","Químico Petroquímico e Embalagens",625,1012476.35,0.610586019230769,56
"8",10089,"Renovação",2019-10-19,"De 1 a 5 bilhões",2019-11-26,"0",6,3,6.43,2019,7099619.12955648,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Bens Duráveis","Demais Ind.",292,3202932,0.354247580645161,261
"9",10085,"Recuperação",2019-10-17,"Acima de 5 bilhões",2019-11-29,"1",3,2,9.87,2019,1043293.32517073,"Publico",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Administracao Publica",339,390817.29,0.463807525295833,727
"10",10146,"Renovação",2019-10-30,"De 1 a 5 bilhões",2019-11-29,"1",2,1,16.4,2019,490961.564786226,"Publico",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Saúde, Educação e Serviços Públicos","Administracao Publica",83,142495.43,0.584561428571429,564
"11",10174,"Recuperação",2019-11-06,"De 60,1 a 300 milhoes",2019-11-29,"1",4,1,10.07,2019,551079.292884656,"Sem Concorrência",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Infraestrutura e Indústria de Base","Siderurgia e Mineração",109,143967.78,0.626057704572927,692
"12",10116,"Novo",2019-10-23,"De 1 a 5 bilhões",2019-12-04,"0",7,2,2.03,2019,5914792.15545971,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Bens Duráveis","Demais Ind.",1090,1536369.43,0.632447504784689,187
"13",10173,"Novo",2019-11-05,"De 15,1 a 60 milhões",2019-12-04,"1",1,0,0,2019,424707.015647761,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Serviços","Servicos Especializados",148,214035.51,0.286845447730112,557
"14",10107,"Recuperação",2019-10-23,"De 501 a 1 bilhão",2019-12-11,"0",2,0,11.5,2019,4045328.28107081,"Concorrência",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"Bens Não Duráveis","Comércio de Alimentos e Bebidas",756,895076.77,0.686892278336167,441
"15",10070,"Novo",2019-10-16,"De 301 a 500 milhões",2019-12-12,"0",1,0,0,2019,551889.171829331,"Sem Concorrência",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bens Duráveis","Demais Ind.",131,162226,0.584035897435897,404
"16",10117,"Novo",2019-10-24,"De 301 a 500 milhões",2019-12-12,"0",1,0,0,2019,1846706.05816578,"Concorrência",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serviços","Outros",409,501522.08,0.615691892720307,183
"17",10142,"Renovação",2019-10-29,"De 1 a 5 bilhões",2019-12-16,"1",1,0,0,2019,849899.410741976,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Infraestrutura e Indústria de Base","Petróleo e Gás",160,272405.73,0.582319672305089,569
"18",10286,"Renovação",2019-12-03,"Acima de 5 bilhões",2019-12-17,"0",12,4,0.5,2019,958624.406747803,"RFP",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serviços","Energia",169,376908.4,0.443616046056759,266
"19",10325,"Novo",2019-12-17,"Acima de 5 bilhões",2019-12-17,"1",2,0,11.7,2019,916291.55294582,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Internacional & Outros","Administracao Publica",171,265055.22,0.623037637012916,728
"20",10181,"Novo",2019-11-07,"De 301 a 500 milhões",2019-12-19,"0",1,0,0,2019,650946.198003383,"Concorrência",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serviços","Telecomunicacoes e Midia",106,162287,0.647202173913043,415
"21",10259,"Recuperação",2019-11-27,"De 1 a 5 bilhões",2019-12-19,"0",3,2,6.73,2019,3324849.2082139,"RFP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Serviços","Energia",570,1235733,0.474055457428018,608
"22",10140,"Recuperação",2019-10-29,"De 60,1 a 300 milhoes",2019-12-20,"1",2,1,1.47,2019,13443.4574525633,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Bens Não Duráveis","Ind de Alimentos e Bebidas",1,7556.64,0.204564210526316,282
"23",10300,"Renovação",2019-12-09,"De 60,1 a 300 milhoes",2019-12-23,"1",4,3,3.73,2019,106783.478220008,"Sem Concorrência",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Infraestrutura e Indústria de Base","Incorporação e Construção",21,27930.74,0.629860323350119,650
"24",10019,"Novo",2019-10-09,"De 1 a 5 bilhões",2019-12-24,"1",2,0,22.2,2019,3640345.84840938,"Concorrência",1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"Bens Não Duráveis","Comércio de Alimentos e Bebidas",826,1359653.39,0.471466126336249,429
"25",10065,"Novo",2019-10-16,"Acima de 5 bilhões",2019-12-26,"1",1,0,0,2019,582455.335745501,"RFP",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Bens Não Duráveis","Comércio de Alimentos e Bebidas",256,379790.01,0.0772837463556851,847
"26",10193,"Renovação",2019-11-11,"De 60,1 a 300 milhoes",2019-12-26,"1",4,2,0,2019,1121891.62463108,"Sem Concorrência",0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Infraestrutura e Indústria de Base","Químico Petroquímico e Embalagens",194,249629.53,0.685129250756811,90
"27",10195,"Renovação",2019-11-12,"De 60,1 a 300 milhoes",2019-12-26,"1",5,3,0,2019,2622888.63536027,"Sem Concorrência",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Infraestrutura e Indústria de Base","Químico Petroquímico e Embalagens",612,1072233.77,0.421508621526841,90
"28",10290,"Recuperação",2019-12-04,"De 301 a 500 milhões",2019-12-26,"0",5,1,3.23,2019,481133.589746722,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Bens Duráveis","Ind. Farmacêutica",66,115845,0.659279411764706,611
"29",10101,"Renovação",2019-10-23,"De 1 a 5 bilhões",2019-12-27,"1",6,2,2.17,2019,4878063.43686857,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Bens Duráveis","Demais Comercios",896,1457653.81,0.577142332071421,258
"30",10329,"Renovação",2019-12-18,"De 1 a 5 bilhões",2019-12-27,"1",10,7,0,2019,1853737.68953414,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serviços","Servicos Especializados",233,913129.88,0.302937794711173,411
